WKT,nombre,descripción
"POLYGON ((-70.6893011 -33.47708759999999 0.0, -70.68993 -33.47704 0.0, -70.69082 -33.477070000000005 0.0, -70.69178 -33.47786 0.0, -70.69323 -33.47818 0.0, -70.69492 -33.47861999999999 0.0, -70.69692 -33.47892000000001 0.0, -70.70266 -33.48027 0.0, -70.70428 -33.48056 0.0, -70.70772 -33.48097 0.0, -70.70883 -33.4808 0.0, -70.71041 -33.48093000000001 0.0, -70.71103 -33.48126 0.0, -70.71243 -33.48114000000001 0.0, -70.71376 -33.48005 0.0, -70.71631 -33.47821 0.0, -70.71916 -33.47549999999999 0.0, -70.72203 -33.47332 0.0, -70.72232000000001 -33.47413 0.0, -70.7229 -33.47744 0.0, -70.72347 -33.47994 0.0, -70.72371 -33.48059 0.0, -70.72428 -33.481190000000005 0.0, -70.72447 -33.48179 0.0, -70.72449 -33.48239 0.0, -70.72512 -33.48221999999999 0.0, -70.72612 -33.48186 0.0, -70.72684 -33.48199000000001 0.0, -70.72725 -33.48238 0.0, -70.72786 -33.4828 0.0, -70.72874 -33.48273999999999 0.0, -70.72993 -33.48241999999999 0.0, -70.7313 -33.4825 0.0, -70.731246 -33.484628 0.0, -70.73133200000001 -33.48613100000001 0.0, -70.731268 -33.487796 0.0, -70.731697 -33.493128000000006 0.0, -70.73144 -33.494667 0.0, -70.732555 -33.49577699999999 0.0, -70.733414 -33.496618 0.0, -70.734336 -33.49821 0.0, -70.734916 -33.49957 0.0, -70.73601 -33.50189600000001 0.0, -70.736847 -33.503721 0.0, -70.73734 -33.504866 0.0, -70.738639 -33.507899 0.0, -70.739615 -33.51014399999999 0.0, -70.737147 -33.510127 0.0, -70.733006 -33.51007299999999 0.0, -70.726354 -33.509912 0.0, -70.722942 -33.510055 0.0, -70.720239 -33.512381 0.0, -70.718436 -33.514063 0.0, -70.721827 -33.51832 0.0, -70.723286 -33.52036 0.0, -70.724316 -33.521415 0.0, -70.725431 -33.52281 0.0, -70.72629 -33.52391000000001 0.0, -70.72382 -33.52491 0.0, -70.71755000000002 -33.52720000000001 0.0, -70.70626 -33.53142 0.0, -70.70584 -33.52844 0.0, -70.70563 -33.52494 0.0, -70.70543 -33.52403000000001 0.0, -70.7049 -33.52267 0.0, -70.70329 -33.51878 0.0, -70.70236 -33.51675 0.0, -70.69078 -33.49292 0.0, -70.68896000000001 -33.48818 0.0, -70.68796 -33.48618 0.0, -70.68551 -33.47992 0.0, -70.68533 -33.47895 0.0, -70.68539 -33.47845 0.0, -70.68582 -33.4769 0.0, -70.68626 -33.47622 0.0, -70.68803 -33.47674000000001 0.0, -70.68876 -33.47702 0.0, -70.6893011 -33.47708759999999 0.0), (-70.6894 -33.4771 0.0, -70.68927 -33.47709 0.0, -70.6893011 -33.47708759999999 0.0, -70.6894 -33.4771 0.0))",CERRILLOS,Arturo Aguirre Gacitúa (PS)
"POLYGON ((-70.78212 -33.413722, -70.782029 -33.41587, -70.78099 -33.415911, -70.780912 -33.41615099999999, -70.779968 -33.416647, -70.77925 -33.417342, -70.77901 -33.417636, -70.779011 -33.41844999999999, -70.778867 -33.418704, -70.778163 -33.419546, -70.777546 -33.420192, -70.77709 -33.421787, -70.776749 -33.42306399999999, -70.775298 -33.424297, -70.773416 -33.424579, -70.771705 -33.424884, -70.770956 -33.424906, -70.769587 -33.425188, -70.767625 -33.425342, -70.766643 -33.425946, -70.765226 -33.426637, -70.76321800000001 -33.427585, -70.762393 -33.427735999999996, -70.761338 -33.42769400000001, -70.760176 -33.427372, -70.758091 -33.42737400000001, -70.757059 -33.427224, -70.755485 -33.427419, -70.754456 -33.427893, -70.75359800000001 -33.428057, -70.752265 -33.428296, -70.75064 -33.429085, -70.749634 -33.429344, -70.747328 -33.429806, -70.746745 -33.429952, -70.74082 -33.42991, -70.740852 -33.436367, -70.734763 -33.436368, -70.730905 -33.436246, -70.730201 -33.436266, -70.72891 -33.436408, -70.728156 -33.43667200000001, -70.724246 -33.437743, -70.723709 -33.43869000000001, -70.722472 -33.438946, -70.721501 -33.436691, -70.72119400000001 -33.435224, -70.721052 -33.43417900000001, -70.719985 -33.429646999999996, -70.719282 -33.426817, -70.718949 -33.425601, -70.71777 -33.421139000000004, -70.717182 -33.418578000000004, -70.716926 -33.41741700000001, -70.716695 -33.416374, -70.715828 -33.415141, -70.717267 -33.414546, -70.719371 -33.41321, -70.720648 -33.412662, -70.721473 -33.41243600000001, -70.722635 -33.411676, -70.723889 -33.412124, -70.724646 -33.41253799999999, -70.727973 -33.41365900000001, -70.729075 -33.413271, -70.729921 -33.412906, -70.731857 -33.412530000000004, -70.733438 -33.412401, -70.73401400000002 -33.41236899999999, -70.735737 -33.412153, -70.738818 -33.412367, -70.741028 -33.412289, -70.741948 -33.412213, -70.743669 -33.412189, -70.744454 -33.412404, -70.74556 -33.412456999999996, -70.746991 -33.412434, -70.74921 -33.412227, -70.752052 -33.412310999999995, -70.753973 -33.412589, -70.755641 -33.412749000000005, -70.756825 -33.41264, -70.758994 -33.412347, -70.760299 -33.41254, -70.764162 -33.413379, -70.76888900000002 -33.414479, -70.771634 -33.414584, -70.775873 -33.413716, -70.7776 -33.413875, -70.778656 -33.413919, -70.781431 -33.413912, -70.782067 -33.413793000000005, -70.78212 -33.413722))",CERRO NAVIA,Mauro Tamayo Rozas (ind)
"POLYGON ((-70.70014 -33.366267, -70.698304 -33.370684, -70.696079 -33.37544, -70.693405 -33.38143, -70.691235 -33.386455, -70.690836 -33.38719900000001, -70.689246 -33.390525, -70.688249 -33.392358, -70.685355 -33.397206, -70.681883 -33.402973, -70.680942 -33.402769000000006, -70.678424 -33.401987999999996, -70.675105 -33.40077, -70.67212 -33.399668, -70.672029 -33.39985, -70.667572 -33.399557, -70.668088 -33.399088, -70.666599 -33.398937, -70.66614 -33.398937, -70.661047 -33.399365, -70.658242 -33.399572, -70.657757 -33.397586, -70.65753 -33.395831, -70.657264 -33.391893, -70.657446 -33.388859, -70.657315 -33.387526, -70.657225 -33.385884, -70.657353 -33.384295, -70.657612 -33.380667, -70.657741 -33.378379, -70.656732 -33.376439, -70.6641 -33.373635, -70.668495 -33.372139, -70.675509 -33.369351, -70.682794 -33.36675300000001, -70.686078 -33.366456, -70.689638 -33.366217, -70.692697 -33.36607699999999, -70.695587 -33.365972, -70.696604 -33.365921, -70.697205 -33.36593800000001, -70.698824 -33.36603, -70.700112 -33.366243, -70.70014 -33.366267))",CONCHALÍ,René de la Vega Fuentes (ind)
"POLYGON ((-70.6739045 -33.5433616, -70.678766 -33.541554, -70.685389 -33.539143, -70.68543 -33.539193, -70.686514 -33.540988999999996, -70.68624 -33.541229, -70.687154 -33.543, -70.688207 -33.545363, -70.68971 -33.548718, -70.693101 -33.55611799999999, -70.695483 -33.555899, -70.696983 -33.56285, -70.697106 -33.563581, -70.69705500000002 -33.56369, -70.696664 -33.563929, -70.697936 -33.566576000000005, -70.700824 -33.572953, -70.698597 -33.57385599999999, -70.692182 -33.576371, -70.682887 -33.579998, -70.68087 -33.58082000000001, -70.676858 -33.58244, -70.676706 -33.582469, -70.670938 -33.58365200000001, -70.663266 -33.585249, -70.662227 -33.58160900000001, -70.661209 -33.577788, -70.660134 -33.573794, -70.659828 -33.573264, -70.659281 -33.571412, -70.656845 -33.562439, -70.656515 -33.56112300000001, -70.655753 -33.558169, -70.654928 -33.554939, -70.65434 -33.552087, -70.654119 -33.551065, -70.6535 -33.548774, -70.656834 -33.548225, -70.65679 -33.548042, -70.66677600000001 -33.546296999999996, -70.668075 -33.545674, -70.668268 -33.545389, -70.671046 -33.54438999999999, -70.6739045 -33.5433616), (-70.676177 -33.542544, -70.673613 -33.54347, -70.6739045 -33.5433616, -70.676177 -33.542544))",EL BOSQUE,Sadi Melo Moya (PS)
 
"POLYGON ((-70.731147 -33.46006799999999, -70.731094 -33.463822, -70.731241 -33.467545, -70.731827 -33.467954999999996, -70.733916 -33.46942299999999, -70.728054 -33.471157, -70.725589 -33.47189999999999, -70.7226 -33.472845, -70.722039 -33.473321, -70.717717 -33.476865, -70.71628 -33.47821299999999, -70.715229 -33.479007, -70.713707 -33.480086, -70.712414 -33.481151, -70.711047 -33.481249, -70.71040300000001 -33.480927, -70.708829 -33.480804, -70.707694 -33.480968, -70.706155 -33.480772, -70.705024 -33.480649, -70.704385 -33.480572, -70.702748 -33.480294, -70.701052 -33.479888, -70.699492 -33.479564, -70.696897 -33.47891, -70.696749 -33.478933, -70.694947 -33.478629000000005, -70.693878 -33.478352, -70.691794 -33.477872, -70.690811 -33.477069, -70.68994 -33.47702400000001, -70.689359 -33.477092, -70.688724 -33.47700799999999, -70.688382 -33.476876, -70.687652 -33.476631, -70.686269 -33.47622700000001, -70.685804 -33.476892, -70.684072 -33.476916, -70.680728 -33.476947, -70.679199 -33.476935, -70.677175 -33.476921, -70.675094 -33.476888, -70.674597 -33.47675, -70.67452 -33.476009, -70.673833 -33.475827, -70.673535 -33.475614, -70.673236 -33.475249999999996, -70.673116 -33.474855, -70.672944 -33.474765, -70.672944 -33.473541, -70.67295 -33.470683, -70.680133 -33.470693, -70.680133 -33.470586, -70.680024 -33.470503, -70.679753 -33.470381, -70.67915 -33.469364000000006, -70.67861 -33.461904, -70.678439 -33.459211, -70.677968 -33.452796, -70.67784 -33.450733, -70.678941 -33.450959, -70.679377 -33.446622, -70.679563 -33.443957, -70.681018 -33.443948, -70.689436 -33.444376, -70.692063 -33.444502, -70.69229 -33.447958, -70.692491 -33.44795800000001, -70.69589 -33.447817, -70.698041 -33.447701, -70.70007 -33.447953, -70.70198 -33.448174, -70.704225 -33.448434, -70.707094 -33.448794, -70.706882 -33.450092, -70.706706 -33.451094, -70.706265 -33.452263, -70.706 -33.453665, -70.705576 -33.457268000000006, -70.711092 -33.45856200000001, -70.712626 -33.45856, -70.723377 -33.45647900000001, -70.731209 -33.454986, -70.731147 -33.46006799999999))",ESTACIÓN CENTRAL,Rodrigo Delgado Mocarquer (UDI)
"POLYGON ((-70.629011 -33.391776, -70.628209 -33.392176, -70.622657 -33.395534, -70.618148 -33.398806, -70.615534 -33.400844, -70.610169 -33.402837, -70.607511 -33.398546, -70.606613 -33.394848, -70.604993 -33.393393, -70.603005 -33.390404, -70.602077 -33.386492, -70.603865 -33.383319, -70.604226 -33.380772, -70.603361 -33.377479, -70.601318 -33.37463199999999, -70.597661 -33.371807, -70.597143 -33.369631, -70.597095 -33.369352, -70.597093 -33.365801000000005, -70.60009900000001 -33.362998, -70.596426 -33.35966400000001, -70.592614 -33.355721, -70.586561 -33.35343900000001, -70.584546 -33.350638999999994, -70.589731 -33.3444, -70.591804 -33.337377, -70.592987 -33.332944999999995, -70.639332 -33.338712, -70.660544 -33.327818, -70.67955 -33.330189, -70.681562 -33.32651899999999, -70.695469 -33.320049, -70.707183 -33.318417, -70.706319 -33.320789, -70.704852 -33.324521, -70.704046 -33.325534, -70.700545 -33.328061, -70.696654 -33.33107600000001, -70.694079 -33.333469, -70.692514 -33.337208, -70.69234 -33.338803, -70.693709 -33.341291, -70.694083 -33.342945, -70.693827 -33.347887, -70.693599 -33.350161, -70.692658 -33.352981, -70.691651 -33.356698, -70.690366 -33.361314, -70.689703 -33.36308199999999, -70.689631 -33.365311, -70.689631 -33.36621, -70.685638 -33.366558, -70.682657 -33.366780999999996, -70.678879 -33.368201, -70.676232 -33.36913200000001, -70.664083 -33.373711, -70.656602 -33.376431, -70.651794 -33.37810600000001, -70.643965 -33.381256, -70.639429 -33.384089, -70.62994600000002 -33.391023, -70.629011 -33.391776))",HUECHURABA,Carlos Cuadrado Prats (PPD)
 
"POLYGON ((-70.68187 -33.403016, -70.680846 -33.404757999999994, -70.680434 -33.405678, -70.680243 -33.406441, -70.679833 -33.409546999999996, -70.679698 -33.410648, -70.679327 -33.413468, -70.679228 -33.414385, -70.678891 -33.416605, -70.678794 -33.417559, -70.678514 -33.418383, -70.677989 -33.419198, -70.677447 -33.419917, -70.676719 -33.420486, -70.675632 -33.421116, -70.675069 -33.421448000000005, -70.674496 -33.421954, -70.674113 -33.422406, -70.672807 -33.42409500000001, -70.67180200000001 -33.425236, -70.671228 -33.42595, -70.669299 -33.426555, -70.666772 -33.427367, -70.664586 -33.428199, -70.662965 -33.428778, -70.661909 -33.428962, -70.660276 -33.429547, -70.659687 -33.429728, -70.658433 -33.429969, -70.656411 -33.43087799999999, -70.65555 -33.431098, -70.651647 -33.431985, -70.651701 -33.431165, -70.651626 -33.430282, -70.651432 -33.427831999999995, -70.651304 -33.426214, -70.651159 -33.424258, -70.651047 -33.423457, -70.650735 -33.421252, -70.650594 -33.420114, -70.650432 -33.419352, -70.650149 -33.417836, -70.6509 -33.417687, -70.651815 -33.417514999999995, -70.65270100000001 -33.41750400000001, -70.652756 -33.41533600000001, -70.652753 -33.414324, -70.652773 -33.412481, -70.652847 -33.411421, -70.65318 -33.4103, -70.653164 -33.409399, -70.65314 -33.408707, -70.653187 -33.40725599999999, -70.653258 -33.407177, -70.65312500000002 -33.40638700000001, -70.65347 -33.40629899999999, -70.654976 -33.405926, -70.657158 -33.405319, -70.657514 -33.403744, -70.658125 -33.40089, -70.658253 -33.400307, -70.658246 -33.399570000000004, -70.659083 -33.399516, -70.6604 -33.399424, -70.662419 -33.399248, -70.663929 -33.399111, -70.665028 -33.399034, -70.666149 -33.398945, -70.66660200000001 -33.39893300000001, -70.668081 -33.39909000000001, -70.667574 -33.399554, -70.672024 -33.399857, -70.672125 -33.39966900000001, -70.673453 -33.400165, -70.678424 -33.401982, -70.680931 -33.402779, -70.68186 -33.40298000000001, -70.68187 -33.403016))",INDEPENDENCIA,Gonzalo Durán Baronti (PS)
"POLYGON ((-70.678607 -33.526683, -70.68161 -33.532125, -70.685378 -33.539133, -70.680134 -33.541046, -70.676188 -33.542500999999994, -70.668256 -33.54538800000001, -70.668073 -33.54565600000001, -70.666753 -33.546292, -70.663538 -33.54687, -70.660911 -33.54731, -70.656782 -33.548053, -70.656838 -33.548208, -70.65348 -33.548781, -70.652391 -33.54484, -70.651921 -33.542711, -70.651547 -33.541482, -70.651038 -33.539821, -70.649684 -33.534791000000006, -70.64844900000001 -33.530525, -70.647938 -33.528538, -70.647724 -33.52825399999999, -70.647094 -33.526149000000004, -70.646518 -33.523896, -70.646241 -33.52329199999999, -70.644553 -33.517329, -70.646226 -33.516994, -70.651855 -33.515906, -70.65812 -33.514688, -70.661705 -33.513559, -70.665334 -33.512432, -70.670911 -33.51073399999999, -70.678607 -33.526683))",LA CISTERNA,Santiago Rebolledo Pizarro (PPD)
